Local Route	Type	Delv. Date	Activation Time	Door	Pallets	Pallets Remaining	% Comp	Full Pal.	Full Comp	Pick Pal.	Pick Comp	Layer Pal.	Layer Comp	Total # of Half Pallet	Total # of Other Pallet	Chill Pal.	Chill Comp	Full Cases	Full Cases Comp	Pick Cases	Pick Cases Comp	Layer Cases	Layer Cases Comp	Chilled Cases	Chilled Cases Comp	Cases	Team	Active Seq.	Route Status	Nat. Rte	Load #	Import Time	Vehicle	Finalized?	Checked Out	# of Stops	Load Pallet Type	Total Pallet Qty	Route Type	QC Pending	Load Finalized	Planned Pallet Time	Remaining Pallet Time
504A	BAY	6/26/2024	 	 	5	5	0	0	0	5	0	0	0	0	5	0	0	0	0	75	0	0	0	0	0	75	Bulk 1	1	RELEASED	577884A	34240178	6/25/2024 13:32	S20153	N	N	1		0	NORMAL	0	 	'00:00:00	'00:00:00
505A	BAY	6/26/2024	 	 	6	6	0	0	0	6	0	0	0	0	6	0	0	0	0	93	0	0	0	0	0	93	Bay 1	1	RELEASED	577888A	34240179	6/25/2024 13:32	S20154	N	N	1		0	NORMAL	0	 	'00:00:00	'00:00:00
541A	BULK	6/26/2024	 	 	25	25	0	0	0	25	0	0	0	24	1	0	0	0	0	383	0	0	0	0	0	383	Bay 2	1	RELEASED	615315A	34239060	6/25/2024 12:03	2838_Rent48LG	N	N	17		0	NORMAL	0	 	'03:05:04	'03:05:04
601A	BULK	6/26/2024	 	 	34	34	0	3	0	30	0	1	1	22	12	1	0	220	0	852	0	110	100	8	0	1190	Bulk 1	42	RELEASED	615138A	34239076	6/25/2024 12:04	G19029	N	N	11		0	NORMAL	0	 	'04:58:01	'04:58:01
602A	BULK	6/26/2024	 	 	33	33	0	2	0	30	0	1	1	23	10	1	0	120	0	947	0	80	80	11	0	1158	Bulk 1	40	RELEASED	615139A	34239075	6/25/2024 12:04	F55284	N	N	9		0	NORMAL	0	 	'05:38:42	'05:38:42
603A	BULK	6/26/2024	 	 	26	26	0	0	0	25	0	2	2	17	9	1	0	0	0	941	0	100	100	5	0	1046	Bulk 1	38	RELEASED	615137A	34239089	6/25/2024 12:06	G19030	N	N	8		0	NORMAL	0	 	'04:25:46	'04:25:46
604A	BULK	6/26/2024	 	 	30	30	0	3	0	26	0	0	0	22	8	1	0	300	0	703	0	0	0	13	0	1016	Bulk 1	36	RELEASED	615136A	34239116	6/25/2024 12:10	G19043	N	N	9		0	NORMAL	0	 	'04:24:49	'04:24:49
605A	BULK	6/26/2024	 	 	32	32	0	1	0	30	0	0	0	22	10	1	0	48	0	775	0	0	0	1	0	824	Bulk 1	34	RELEASED	615135A	34239073	6/25/2024 12:03	G19044	N	N	12		0	NORMAL	0	 	'04:15:05	'04:15:05
606A	BULK	6/26/2024	 	 	20	19	5	12	0	7	1	3	3	1	19	1	0	744	0	243	0	160	160	1	0	1148	Bulk 1	32	RELEASED	615134A	34239114	6/25/2024 12:09	2838_Rent40LG	N	N	4		0	NORMAL	0	 	'01:56:40	'01:56:40
606B	BULK	6/26/2024	 	 	14	14	0	0	0	13	0	0	0	13	1	1	0	0	0	295	0	0	0	2	0	297	Bulk 1	31	RELEASED	615134B	34239115	6/25/2024 12:09	2838_Rent40LG	N	N	7		0	NORMAL	0	 	'02:08:46	'02:08:46
607A	BULK	6/26/2024	 	 	10	8	20	0	0	10	2	3	3	0	10	0	0	0	0	541	20	200	200	0	0	741	Bulk 1	30	RELEASED	615133A	34239095	6/25/2024 12:06	F55281	N	N	1		0	NORMAL	0	 	'01:59:18	'01:59:18
607B	BULK	6/26/2024	 	 	28	28	0	0	0	27	0	0	0	26	2	1	0	0	0	534	0	0	0	1	0	535	Bulk 1	29	RELEASED	615133B	34239096	6/25/2024 12:06	F55281	N	N	9		0	NORMAL	0	 	'03:33:37	'03:33:37
608A	BULK	6/26/2024	 	 	28	28	0	0	0	27	0	0	0	27	1	1	0	0	0	591	0	0	0	6	0	597	Bulk 1	28	RELEASED	615132A	34239097	6/25/2024 12:07	F55279	N	N	10		0	NORMAL	0	 	'04:06:01	'04:06:01
609A	BULK	6/26/2024	 	 	34	33	2	0	0	33	1	3	3	25	9	1	0	0	0	915	0	100	100	3	0	1018	Bulk 1	26	RELEASED	615131A	34239098	6/25/2024 12:08	F55283	N	N	12		0	NORMAL	0	 	'05:16:24	'05:16:24
610A	BULK	6/26/2024	 	 	29	29	0	0	0	28	0	0	0	28	1	1	0	0	0	570	0	0	0	22	0	592	Bulk 1	24	RELEASED	615130A	34239074	6/25/2024 12:03	G19054	N	N	13		0	NORMAL	0	 	'04:16:21	'04:16:21
611A	BULK	6/26/2024	 	 	25	25	0	24	0	1	0	0	0	0	25	0	0	1152	0	100	0	0	0	0	0	1252	Bulk 1	22	RELEASED	615129A	34239086	6/25/2024 12:05	F44735	N	N	1		0	NORMAL	0	 	'01:50:59	'01:50:59
611B	BULK	6/26/2024	 	 	13	13	0	0	0	12	0	0	0	10	3	1	0	0	0	264	0	0	0	3	0	267	Bulk 1	21	RELEASED	615129B	34239087	6/25/2024 12:05	F44735	N	N	6		0	NORMAL	0	 	'01:54:56	'01:54:56
612A	BULK	6/26/2024	 	 	26	24	7	2	0	24	2	5	5	14	12	0	0	200	0	642	0	320	310	0	0	1162	Bulk 1	20	RELEASED	615128A	34239068	6/25/2024 12:02	F55288	N	N	12		0	NORMAL	0	 	'03:53:35	'03:53:35
613A	BULK	6/26/2024	 	 	34	33	2	2	0	31	1	2	2	22	12	1	0	200	0	818	0	120	120	2	0	1140	Bulk 1	18	RELEASED	615127A	34239085	6/25/2024 12:05	G19056	N	N	11		0	NORMAL	0	 	'04:48:17	'04:48:17
614A	BULK	6/26/2024	 	 	33	33	0	0	0	32	0	2	2	28	5	1	0	0	0	663	0	120	0	10	0	793	Bulk 1	16	RELEASED	615126A	34239111	6/25/2024 12:10	F55282	N	N	10		0	NORMAL	0	 	'04:25:59	'04:25:59
615A	BULK	6/26/2024	 	 	34	34	0	0	0	33	0	2	2	25	9	1	0	0	0	855	0	110	110	2	0	967	Bulk 1	14	RELEASED	615125A	34239088	6/25/2024 12:07	F55280	N	N	11		0	NORMAL	0	 	'05:00:32	'05:00:32
616A	BULK	6/26/2024	 	 	24	24	0	23	0	1	0	0	0	0	24	0	0	1344	0	48	0	0	0	0	0	1392	Bulk 1	12	RELEASED	615124A	34239105	6/25/2024 12:06	2838_Rent48LG	N	N	1		0	NORMAL	0	 	'01:42:01	'01:42:01
616B	BULK	6/26/2024	 	 	23	22	4	0	0	22	1	2	2	17	6	1	0	0	0	551	0	200	190	7	0	758	Bulk 1	11	RELEASED	615124B	34239106	6/25/2024 12:09	2838_Rent48LG	N	N	6		0	NORMAL	0	 	'03:19:33	'03:19:33
617A	BULK	6/26/2024	 	 	27	26	3	8	0	18	1	2	2	14	13	1	0	760	0	513	0	120	120	4	0	1397	Bulk 1	10	RELEASED	615123A	34239112	6/25/2024 12:09	F55286	N	N	7		0	NORMAL	0	 	'03:39:12	'03:39:12
617B	BULK	6/26/2024	 	 	9	9	0	0	0	8	0	0	0	8	1	1	0	0	0	160	0	0	0	10	0	170	Bulk 1	9	RELEASED	615123B	34239113	6/25/2024 12:08	F55286	N	N	4		0	NORMAL	0	 	'01:20:34	'01:20:34
618A	BULK	6/26/2024	 	 	29	29	0	4	0	24	0	4	4	11	18	1	0	400	0	833	0	230	190	6	0	1469	Bulk 1	8	RELEASED	615122A	34239090	6/25/2024 12:07	G19055	N	N	8		0	NORMAL	0	 	'04:20:56	'04:20:56
