Local Route	Type	Delv. Date	Activation Time	Door	Pallets	Pallets Remaining	% Comp	Full Pal.	Full Comp	Pick Pal.	Pick Comp	Layer Pal.	Layer Comp	Total # of Half Pallet	Total # of Other Pallet	Chill Pal.	Chill Comp	Full Cases	Full Cases Comp	Pick Cases	Pick Cases Comp	Layer Cases	Layer Cases Comp	Chilled Cases	Chilled Cases Comp	Cases	Team	Active Seq.	Route Status	Nat. Rte	Load #	Import Time	Vehicle	Finalized?	Checked Out	# of Stops	Load Pallet Type	Total Pallet Qty	Route Type	QC Pending	Load Finalized	Planned Pallet Time	Remaining Pallet Time
541A	BULK	6/19/2024	 	 	29	29	0	0	0	28	0	0	0	26	3	1	0	0	0	396	0	0	0	1	0	397	Bulk-3	1	RELEASED	615315A	34200878	6/18/2024 11:50	2838_Rent48LG	N	N	16		0	NORMAL	0	 	'02:51:44	'02:51:44
601A	BULK	6/19/2024	 	 	19	19	0	3	0	15	0	1	1	4	15	1	0	220	0	841	0	50	50	1	0	1112	Bulk 1	42	RELEASED	615138A	34200929	6/18/2024 11:54	G19029	N	N	4		0	NORMAL	0	 	'03:12:48	'03:12:48
601B	BULK	6/19/2024	 	 	21	21	0	0	0	20	0	0	0	20	1	1	0	0	0	388	0	0	0	1	0	389	Bulk 1	41	RELEASED	615138B	34200930	6/18/2024 11:51	G19029	N	N	10		0	NORMAL	0	 	'02:41:09	'02:41:09
602A	BULK	6/19/2024	 	 	33	33	0	0	0	32	0	1	1	27	6	1	0	0	0	790	0	70	70	26	0	886	Bulk 1	40	RELEASED	615139A	34200928	6/18/2024 11:53	F55284	N	N	11		0	NORMAL	0	 	'05:22:10	'05:22:10
604A	BULK	6/19/2024	 	 	32	32	0	0	0	31	0	2	2	20	12	1	0	0	0	927	0	130	130	9	0	1066	Bulk 1	36	RELEASED	615136A	34200935	6/18/2024 11:54	F55286	N	N	8		0	NORMAL	0	 	'05:10:59	'05:10:59
605A	BULK	6/19/2024	6/18/2024 12:31	16	33	33	0	1	0	31	0	1	1	23	10	1	0	48	0	804	0	0	0	2	0	854	Bulk 1	34	ACTIVE	615135A	34200905	6/18/2024 11:51	G19044	N	N	14		0	NORMAL	0	 	'04:13:23	'04:13:23
606A	BULK	6/19/2024	 	 	23	23	0	8	0	14	0	1	1	5	18	1	0	408	0	639	0	80	80	2	0	1129	Bulk 1	32	RELEASED	615134A	34200880	6/18/2024 11:50	2838_Rent40LG	N	N	5		0	NORMAL	0	 	'03:13:21	'03:13:21
608A	BULK	6/19/2024	 	 	31	31	0	0	0	30	0	0	0	29	2	1	0	0	0	659	0	0	0	5	0	664	Bulk 1	28	RELEASED	615132A	34200920	6/18/2024 11:52	F55279	N	N	9		0	NORMAL	0	 	'04:21:36	'04:21:36
609A	BULK	6/19/2024	 	 	34	34	0	0	0	33	0	2	2	23	11	1	0	0	0	923	0	50	50	2	0	975	Bulk 1	26	RELEASED	615131A	34200919	6/18/2024 11:52	F55283	N	N	12		0	NORMAL	0	 	'05:11:56	'05:11:56
610A	BULK	6/19/2024	6/18/2024 12:31	15	29	29	0	0	0	28	0	0	0	27	2	1	0	0	0	642	0	0	0	5	0	647	Bulk 1	24	ACTIVE	615130A	34200936	6/18/2024 11:57	G19054	N	N	9		0	NORMAL	0	 	'04:20:35	'04:20:35
611B	BULK	6/19/2024	 	 	16	16	0	0	0	15	0	0	0	12	4	1	0	0	0	358	0	0	0	6	0	364	Bulk 1	21	RELEASED	615129B	34200934	6/18/2024 11:56	F44934	N	N	6		0	NORMAL	0	 	'02:31:22	'02:31:22
613A	BULK	6/19/2024	 	 	29	29	0	0	0	28	0	0	0	26	3	1	0	0	0	667	0	0	0	12	0	679	Bulk 1	18	RELEASED	615127A	34200879	6/18/2024 11:51	G19056	N	N	12		0	NORMAL	0	 	'04:28:02	'04:28:02
614A	BULK	6/19/2024	 	 	35	35	0	0	0	34	0	1	1	30	5	1	0	0	0	744	0	0	0	7	0	751	Bulk 1	16	RELEASED	615126A	34200932	6/18/2024 11:55	F55282	N	N	13		0	NORMAL	0	 	'04:49:43	'04:49:43
615A	BULK	6/19/2024	 	 	28	28	0	0	0	27	0	1	1	21	7	1	0	0	0	787	0	50	50	7	0	844	Bulk 1	14	RELEASED	615125A	34200942	6/18/2024 11:56	G20566	N	N	11		0	NORMAL	0	 	'04:33:47	'04:33:47
